continent	country	year	type	amount
Africa	Cabo Verde	2009	Wine	1.76
Africa	Cabo Verde	2009	Spirits	0.48
Africa	Cabo Verde	2009	Other alcoholic beverages	0
Asia	Cambodia	2009	All types	1.41
Asia	Cambodia	2009	Beer	1.04
Asia	Cambodia	2009	Wine	0
Asia	Cambodia	2009	Spirits	0.36
Asia	Cambodia	2009	Other alcoholic beverages	0
Africa	Cameroon	2009	All types	6.08
Africa	Cameroon	2009	Beer	2.71
Africa	Cameroon	2009	Wine	0.08
Africa	Cameroon	2009	Spirits	0
Africa	Cameroon	2009	Other alcoholic beverages	3.28
North America	Canada	2009	All types	8.4
North America	Canada	2009	Beer	4.2
North America	Canada	2009	Wine	1.9
North America	Canada	2009	Spirits	2.1
North America	Canada	2009	Other alcoholic beverages	0.2
Africa	Central African Republic	2009	All types	1.62
Africa	Central African Republic	2009	Beer	0.3
Africa	Central African Republic	2009	Wine	0.01
Africa	Central African Republic	2009	Spirits	0.04
Africa	Central African Republic	2009	Other alcoholic beverages	1.28
Africa	Chad	2009	All types	0.5
Africa	Chad	2009	Beer	0.3
Africa	Chad	2009	Wine	0.02
Africa	Chad	2009	Spirits	0.02
Africa	Chad	2009	Other alcoholic beverages	0.16
South America	Chile	2009	All types	7.67
South America	Chile	2009	Beer	2.32
South America	Chile	2009	Wine	2.85
South America	Chile	2009	Spirits	2.5
South America	Chile	2009	Other alcoholic beverages	0
Asia	China	2009	All types	4.88
Asia	China	2009	Beer	1.59
Asia	China	2009	Wine	0.1
Asia	China	2009	Spirits	3.25
Asia	China	2009	Other alcoholic beverages	0
South America	Colombia	2009	All types	4.26
South America	Colombia	2009	Beer	2.88
South America	Colombia	2009	Wine	0.07
South America	Colombia	2009	Spirits	1.3
South America	Colombia	2009	Other alcoholic beverages	0.02
Africa	Comoros	2009	All types	0.17
Africa	Comoros	2009	Beer	0.04
Africa	Comoros	2009	Wine	0.02
Africa	Comoros	2009	Spirits	0.1
Africa	Comoros	2009	Other alcoholic beverages	0
Africa	Congo	2009	All types	3.5
Africa	Congo	2009	Beer	3.09
Africa	Congo	2009	Wine	0.01
Africa	Congo	2009	Spirits	0.39
Africa	Congo	2009	Other alcoholic beverages	0.02
Oceania	Cook Islands	2009	All types	9.89
Oceania	Cook Islands	2009	Beer	3.1
Oceania	Cook Islands	2009	Wine	2.3
Oceania	Cook Islands	2009	Spirits	4.48
Oceania	Cook Islands	2009	Other alcoholic beverages	0
North America	Costa Rica	2009	All types	4.15
North America	Costa Rica	2009	Beer	2.48
North America	Costa Rica	2009	Wine	0.18
North America	Costa Rica	2009	Spirits	1.45
North America	Costa Rica	2009	Other alcoholic beverages	0.04
Africa	Côte d'Ivoire	2009	All types	4.24
Africa	Côte d'Ivoire	2009	Beer	0.62
Africa	Côte d'Ivoire	2009	Wine	0.25
Africa	Côte d'Ivoire	2009	Spirits	0.02
Africa	Côte d'Ivoire	2009	Other alcoholic beverages	3.35
Europe	Croatia	2009	All types	12.07
Europe	Croatia	2009	Beer	4.76
Europe	Croatia	2009	Wine	5.66
Europe	Croatia	2009	Spirits	1.24
Europe	Croatia	2009	Other alcoholic beverages	0.42
North America	Cuba	2009	All types	4.04
North America	Cuba	2009	Beer	1.59
North America	Cuba	2009	Wine	0.09
North America	Cuba	2009	Spirits	2.33
North America	Cuba	2009	Other alcoholic beverages	0.02
Asia	Cyprus	2009	All types	10.81
Asia	Cyprus	2009	Beer	3.69
Asia	Cyprus	2009	Wine	2.6
Asia	Cyprus	2009	Spirits	4.52
Asia	Cyprus	2009	Other alcoholic beverages	0
Europe	Czechia	2009	All types	13.31
Europe	Czechia	2009	Beer	7
Europe	Czechia	2009	Wine	2.45
Europe	Czechia	2009	Spirits	3.86
Europe	Czechia	2009	Other alcoholic beverages	0
Asia	Democratic People's Republic of Korea	2009	All types	3.35
Asia	Democratic People's Republic of Korea	2009	Beer	0.15
Asia	Democratic People's Republic of Korea	2009	Wine	0
Asia	Democratic People's Republic of Korea	2009	Spirits	3.2
Asia	Democratic People's Republic of Korea	2009	Other alcoholic beverages	0
Africa	Democratic Republic of the Congo	2009	All types	1.17
Africa	Democratic Republic of the Congo	2009	Beer	0.54
Africa	Democratic Republic of the Congo	2009	Wine	0.23
Africa	Democratic Republic of the Congo	2009	Spirits	0.02
Africa	Democratic Republic of the Congo	2009	Other alcoholic beverages	0.38
Europe	Denmark	2009	All types	10.09
Europe	Denmark	2009	Beer	4.13
Europe	Denmark	2009	Wine	4.38
Europe	Denmark	2009	Spirits	1.52
Europe	Denmark	2009	Other alcoholic beverages	0.05
Africa	Djibouti	2009	All types	0.49
Africa	Djibouti	2009	Beer	0.21
Africa	Djibouti	2009	Wine	0.07
Africa	Djibouti	2009	Spirits	0.21
Africa	Djibouti	2009	Other alcoholic beverages	0
North America	Dominica	2009	All types	7.45
North America	Dominica	2009	Beer	0.43
North America	Dominica	2009	Wine	0.63
North America	Dominica	2009	Spirits	6.35
North America	Dominica	2009	Other alcoholic beverages	0.05
North America	Dominican Republic	2009	All types	6.15
North America	Dominican Republic	2009	Beer	3.24
North America	Dominican Republic	2009	Wine	0.15
North America	Dominican Republic	2009	Spirits	2.68
North America	Dominican Republic	2009	Other alcoholic beverages	0.07
South America	Ecuador	2009	All types	3.88
South America	Ecuador	2009	Beer	2.62
South America	Ecuador	2009	Wine	0.04
South America	Ecuador	2009	Spirits	1.19
South America	Ecuador	2009	Other alcoholic beverages	0.02
Africa	Egypt	2009	All types	0.2
Africa	Egypt	2009	Beer	0.11
Africa	Egypt	2009	Wine	0.04
Africa	Egypt	2009	Spirits	0.05
Africa	Egypt	2009	Other alcoholic beverages	0
North America	El Salvador	2009	All types	2.48
North America	El Salvador	2009	Beer	0.92
North America	El Salvador	2009	Wine	0.03
North America	El Salvador	2009	Spirits	1.53
North America	El Salvador	2009	Other alcoholic beverages	0
Africa	Equatorial Guinea	2009	All types	7.89
Africa	Equatorial Guinea	2009	Beer	4.02
Africa	Equatorial Guinea	2009	Wine	3.86
Africa	Equatorial Guinea	2009	Spirits	0
Africa	Equatorial Guinea	2009	Other alcoholic beverages	0
Africa	Eritrea	2009	All types	0.47
Africa	Eritrea	2009	Beer	0.25
Africa	Eritrea	2009	Wine	0
Africa	Eritrea	2009	Spirits	0
Africa	Eritrea	2009	Other alcoholic beverages	0.22
Europe	Estonia	2009	All types	14.32
Europe	Estonia	2009	Beer	4.69
Europe	Estonia	2009	Wine	1.06
Europe	Estonia	2009	Spirits	7.2
Europe	Estonia	2009	Other alcoholic beverages	1.37
Africa	Eswatini	2009	All types	5.63
Africa	Eswatini	2009	Beer	1.52
Africa	Eswatini	2009	Wine	0.04
Africa	Eswatini	2009	Spirits	0.03
Africa	Eswatini	2009	Other alcoholic beverages	4.04
Africa	Ethiopia	2009	All types	0.77
Africa	Ethiopia	2009	Beer	0.32
Africa	Ethiopia	2009	Wine	0.01
Africa	Ethiopia	2009	Spirits	0.06
Africa	Ethiopia	2009	Other alcoholic beverages	0.39
Oceania	Fiji	2009	All types	2.32
Oceania	Fiji	2009	Beer	1.35
Oceania	Fiji	2009	Wine	0.02
Oceania	Fiji	2009	Spirits	0.95
Oceania	Fiji	2009	Other alcoholic beverages	0
Europe	Finland	2009	All types	9.96
Europe	Finland	2009	Beer	4.54
Europe	Finland	2009	Wine	1.68
Europe	Finland	2009	Spirits	2.49
Europe	Finland	2009	Other alcoholic beverages	1.25
Europe	France	2009	All types	12.3
Europe	France	2009	Beer	2.2
Europe	France	2009	Wine	7.1
Europe	France	2009	Spirits	2.7
Europe	France	2009	Other alcoholic beverages	0.3
Africa	Gabon	2009	All types	8.61
Africa	Gabon	2009	Beer	6.06
Africa	Gabon	2009	Wine	0.93
Africa	Gabon	2009	Spirits	1.56
Africa	Gabon	2009	Other alcoholic beverages	0.05
Africa	Gambia	2009	All types	3.05
Africa	Gambia	2009	Beer	0.17
Africa	Gambia	2009	Wine	0.03
Africa	Gambia	2009	Spirits	0.01
Africa	Gambia	2009	Other alcoholic beverages	2.85
Asia	Georgia	2009	All types	6.88
Asia	Georgia	2009	Beer	0.89
Asia	Georgia	2009	Wine	3.95
Asia	Georgia	2009	Spirits	2.04
Asia	Georgia	2009	Other alcoholic beverages	0
Europe	Germany	2009	All types	11.61
Europe	Germany	2009	Beer	6.34
Europe	Germany	2009	Wine	3.11
Europe	Germany	2009	Spirits	2.15
Europe	Germany	2009	Other alcoholic beverages	0
Africa	Ghana	2009	All types	1.92
Africa	Ghana	2009	Beer	0.47
Africa	Ghana	2009	Wine	0.12
Africa	Ghana	2009	Spirits	0.06
Africa	Ghana	2009	Other alcoholic beverages	1.27
Europe	Greece	2009	All types	9.07
Europe	Greece	2009	Beer	2.27
Europe	Greece	2009	Wine	4.46
Europe	Greece	2009	Spirits	2.18
Europe	Greece	2009	Other alcoholic beverages	0.16
North America	Grenada	2009	All types	8.42
North America	Grenada	2009	Beer	3.54
North America	Grenada	2009	Wine	0.48
North America	Grenada	2009	Spirits	4.12
North America	Grenada	2009	Other alcoholic beverages	0.27
North America	Guatemala	2009	All types	2
North America	Guatemala	2009	Beer	0.8
North America	Guatemala	2009	Wine	0.03
North America	Guatemala	2009	Spirits	1.17
North America	Guatemala	2009	Other alcoholic beverages	0
Africa	Guinea	2009	All types	0.18
Africa	Guinea	2009	Beer	0.15
Africa	Guinea	2009	Wine	0.02
Africa	Guinea	2009	Spirits	0.01
Africa	Guinea	2009	Other alcoholic beverages	0
Africa	Guinea-Bissau	2009	All types	2.73
Africa	Guinea-Bissau	2009	Beer	0.45
Africa	Guinea-Bissau	2009	Wine	0.53
Africa	Guinea-Bissau	2009	Spirits	0.51
Africa	Guinea-Bissau	2009	Other alcoholic beverages	1.24
South America	Guyana	2009	All types	5.08
South America	Guyana	2009	Beer	1.63
South America	Guyana	2009	Wine	0.02
South America	Guyana	2009	Spirits	3.4
South America	Guyana	2009	Other alcoholic beverages	0.03
North America	Haiti	2009	All types	5.9
North America	Haiti	2009	Beer	0.12
North America	Haiti	2009	Wine	0.01
North America	Haiti	2009	Spirits	5.76
North America	Haiti	2009	Other alcoholic beverages	0.01
North America	Honduras	2009	All types	2.97
North America	Honduras	2009	Beer	1.22
North America	Honduras	2009	Wine	0.02
North America	Honduras	2009	Spirits	1.73
North America	Honduras	2009	Other alcoholic beverages	0
Europe	Hungary	2009	All types	11.46
Europe	Hungary	2009	Beer	4.26
Europe	Hungary	2009	Wine	3.21
Europe	Hungary	2009	Spirits	3.99
Europe	Hungary	2009	Other alcoholic beverages	0
Europe	Iceland	2009	All types	7.24
Europe	Iceland	2009	Beer	3.84
Europe	Iceland	2009	Wine	1.94
Europe	Iceland	2009	Spirits	1.47
Europe	Iceland	2009	Other alcoholic beverages	NA
Asia	India	2009	All types	2.47
Asia	India	2009	Beer	0.15
Asia	India	2009	Wine	0
Asia	India	2009	Spirits	2.33
Asia	India	2009	Other alcoholic beverages	0
Asia	Indonesia	2009	All types	0.09
Asia	Indonesia	2009	Beer	0.08
Asia	Indonesia	2009	Wine	0
Asia	Indonesia	2009	Spirits	0.01
Asia	Indonesia	2009	Other alcoholic beverages	0
Asia	Iran (Islamic Republic of)	2009	All types	0.03
Asia	Iran (Islamic Republic of)	2009	Beer	0
Asia	Iran (Islamic Republic of)	2009	Wine	0
Asia	Iran (Islamic Republic of)	2009	Spirits	0.03
Asia	Iran (Islamic Republic of)	2009	Other alcoholic beverages	0
Asia	Iraq	2009	All types	0.2
Asia	Iraq	2009	Beer	0.16
Asia	Iraq	2009	Wine	0
Asia	Iraq	2009	Spirits	0.04
Asia	Iraq	2009	Other alcoholic beverages	0
Europe	Ireland	2009	All types	11.27
Europe	Ireland	2009	Beer	5.76
Europe	Ireland	2009	Wine	2.65
Europe	Ireland	2009	Spirits	1.99
Europe	Ireland	2009	Other alcoholic beverages	0.87
Asia	Israel	2009	All types	2.56
Asia	Israel	2009	Beer	1.05
Asia	Israel	2009	Wine	0.18
Asia	Israel	2009	Spirits	1.27
Asia	Israel	2009	Other alcoholic beverages	0.05
Europe	Italy	2009	All types	6.4
Europe	Italy	2009	Beer	1.4
Europe	Italy	2009	Wine	4.3
Europe	Italy	2009	Spirits	0.7
Europe	Italy	2009	Other alcoholic beverages	0
North America	Jamaica	2009	All types	2.84
North America	Jamaica	2009	Beer	1.06
North America	Jamaica	2009	Wine	0.14
North America	Jamaica	2009	Spirits	1.49
North America	Jamaica	2009	Other alcoholic beverages	0.15
Asia	Japan	2009	All types	6.98
Asia	Japan	2009	Beer	1.38
Asia	Japan	2009	Wine	0.25
Asia	Japan	2009	Spirits	2.64
Asia	Japan	2009	Other alcoholic beverages	2.7
Asia	Jordan	2009	All types	0.59
Asia	Jordan	2009	Beer	0.19
Asia	Jordan	2009	Wine	0.01
Asia	Jordan	2009	Spirits	0.38
Asia	Jordan	2009	Other alcoholic beverages	0.01
Asia	Kazakhstan	2009	All types	6.44
Asia	Kazakhstan	2009	Beer	1.87
Asia	Kazakhstan	2009	Wine	0.35
Asia	Kazakhstan	2009	Spirits	4.22
Asia	Kazakhstan	2009	Other alcoholic beverages	0
Africa	Kenya	2009	All types	2.04
Africa	Kenya	2009	Beer	1.05
Africa	Kenya	2009	Wine	0.02
Africa	Kenya	2009	Spirits	0.41
Africa	Kenya	2009	Other alcoholic beverages	0.56
Oceania	Kiribati	2009	All types	0.56
Oceania	Kiribati	2009	Beer	0.49
Oceania	Kiribati	2009	Wine	0.02
Oceania	Kiribati	2009	Spirits	0.05
Oceania	Kiribati	2009	Other alcoholic beverages	0
Asia	Kuwait	2009	All types	0.1
Asia	Kuwait	2009	Beer	0.09
Asia	Kuwait	2009	Wine	0
Asia	Kuwait	2009	Spirits	0.01
Asia	Kuwait	2009	Other alcoholic beverages	0
Asia	Kyrgyzstan	2009	All types	5.99
Asia	Kyrgyzstan	2009	Beer	0.48
Asia	Kyrgyzstan	2009	Wine	0.12
Asia	Kyrgyzstan	2009	Spirits	5.39
Asia	Kyrgyzstan	2009	Other alcoholic beverages	0
Asia	Lao People's Democratic Republic	2009	All types	5.3
Asia	Lao People's Democratic Republic	2009	Beer	2.2
Asia	Lao People's Democratic Republic	2009	Wine	0
Asia	Lao People's Democratic Republic	2009	Spirits	3.1
Asia	Lao People's Democratic Republic	2009	Other alcoholic beverages	0
Europe	Latvia	2009	All types	9.85
Europe	Latvia	2009	Beer	4.35
Europe	Latvia	2009	Wine	1.03
Europe	Latvia	2009	Spirits	3.94
Europe	Latvia	2009	Other alcoholic beverages	0.53
Asia	Lebanon	2009	All types	1.61
Asia	Lebanon	2009	Beer	0.39
Asia	Lebanon	2009	Wine	0.32
Asia	Lebanon	2009	Spirits	0.88
Asia	Lebanon	2009	Other alcoholic beverages	0.02
Africa	Lesotho	2009	All types	2.98
Africa	Lesotho	2009	Beer	1.33
Africa	Lesotho	2009	Wine	0.01
Africa	Lesotho	2009	Spirits	0.55
Africa	Lesotho	2009	Other alcoholic beverages	1.09
Africa	Liberia	2009	All types	3.75
Africa	Liberia	2009	Beer	0.34
Africa	Liberia	2009	Wine	0.01
Africa	Liberia	2009	Spirits	3.4
Africa	Liberia	2009	Other alcoholic beverages	0
Africa	Libya	2009	All types	0.01
Africa	Libya	2009	Beer	0.01
Africa	Libya	2009	Wine	0
Africa	Libya	2009	Spirits	0.01
Africa	Libya	2009	Other alcoholic beverages	0
Europe	Lithuania	2009	All types	12.4
Europe	Lithuania	2009	Beer	5.4
Europe	Lithuania	2009	Wine	0.9
Europe	Lithuania	2009	Spirits	4.6
Europe	Lithuania	2009	Other alcoholic beverages	1.5
Europe	Luxembourg	2009	All types	11.6
Europe	Luxembourg	2009	Beer	4.27
Europe	Luxembourg	2009	Wine	4.91
Europe	Luxembourg	2009	Spirits	2.43
Europe	Luxembourg	2009	Other alcoholic beverages	0
Africa	Madagascar	2009	All types	0.91
Africa	Madagascar	2009	Beer	0.4
Africa	Madagascar	2009	Wine	0.17
Africa	Madagascar	2009	Spirits	0.34
Africa	Madagascar	2009	Other alcoholic beverages	0
Africa	Malawi	2009	All types	1.78
Africa	Malawi	2009	Beer	0.15
Africa	Malawi	2009	Wine	0.02
Africa	Malawi	2009	Spirits	0.21
Africa	Malawi	2009	Other alcoholic beverages	1.4
Asia	Malaysia	2009	All types	0.47
Asia	Malaysia	2009	Beer	0.37
Asia	Malaysia	2009	Wine	0
Asia	Malaysia	2009	Spirits	0.09
Asia	Malaysia	2009	Other alcoholic beverages	0.01
Asia	Maldives	2009	All types	1.62
Asia	Maldives	2009	Beer	0.46
Asia	Maldives	2009	Wine	0.32
Asia	Maldives	2009	Spirits	0.83
Asia	Maldives	2009	Other alcoholic beverages	0
Africa	Mali	2009	All types	0.56
Africa	Mali	2009	Beer	0.07
Africa	Mali	2009	Wine	0
Africa	Mali	2009	Spirits	0.01
Africa	Mali	2009	Other alcoholic beverages	0.48
Europe	Malta	2009	All types	7.53
Europe	Malta	2009	Beer	2.71
Europe	Malta	2009	Wine	2.94
Europe	Malta	2009	Spirits	1.55
Europe	Malta	2009	Other alcoholic beverages	0.33
Africa	Mauritania	2009	All types	0
Africa	Mauritania	2009	Beer	0
Africa	Mauritania	2009	Wine	0
Africa	Mauritania	2009	Spirits	0
Africa	Mauritania	2009	Other alcoholic beverages	0
Africa	Mauritius	2009	All types	2.82
Africa	Mauritius	2009	Beer	1.98
Africa	Mauritius	2009	Wine	0.26
Africa	Mauritius	2009	Spirits	0.58
Africa	Mauritius	2009	Other alcoholic beverages	0
North America	Mexico	2009	All types	5.23
North America	Mexico	2009	Beer	4.02
North America	Mexico	2009	Wine	0.12
North America	Mexico	2009	Spirits	1.06
North America	Mexico	2009	Other alcoholic beverages	0.03
Oceania	Micronesia (Federated States of)	2009	All types	2.05
Oceania	Micronesia (Federated States of)	2009	Beer	1.18
Oceania	Micronesia (Federated States of)	2009	Wine	0.03
Oceania	Micronesia (Federated States of)	2009	Spirits	0.85
Oceania	Micronesia (Federated States of)	2009	Other alcoholic beverages	0
Asia	Mongolia	2009	All types	4.64
Asia	Mongolia	2009	Beer	1.01
Asia	Mongolia	2009	Wine	0.11
Asia	Mongolia	2009	Spirits	3.4
Asia	Mongolia	2009	Other alcoholic beverages	0
Europe	Montenegro	2009	All types	7.26
Europe	Montenegro	2009	Beer	0.7
Europe	Montenegro	2009	Wine	4.02
Europe	Montenegro	2009	Spirits	2.37
Europe	Montenegro	2009	Other alcoholic beverages	0.17
Africa	Morocco	2009	All types	0.62
Africa	Morocco	2009	Beer	0.23
Africa	Morocco	2009	Wine	0.29
Africa	Morocco	2009	Spirits	0.1
Africa	Morocco	2009	Other alcoholic beverages	0
Africa	Mozambique	2009	All types	0.74
Africa	Mozambique	2009	Beer	0.57
Africa	Mozambique	2009	Wine	0.12
Africa	Mozambique	2009	Spirits	0.05
Africa	Mozambique	2009	Other alcoholic beverages	0
Asia	Myanmar	2009	All types	0.86
Asia	Myanmar	2009	Beer	0.14
Asia	Myanmar	2009	Wine	0
Asia	Myanmar	2009	Spirits	0.72
Asia	Myanmar	2009	Other alcoholic beverages	0
Africa	Namibia	2009	All types	7.87
Africa	Namibia	2009	Beer	7.63
Africa	Namibia	2009	Wine	0.02
Africa	Namibia	2009	Spirits	0.06
Africa	Namibia	2009	Other alcoholic beverages	0.15
Oceania	Nauru	2009	All types	2.01
Oceania	Nauru	2009	Beer	1.84
Oceania	Nauru	2009	Wine	0.04
Oceania	Nauru	2009	Spirits	0.13
Oceania	Nauru	2009	Other alcoholic beverages	0
Oceania	Nauru	2009	All types	2.01
Oceania	Nauru	2009	Beer	1.84
Oceania	Nauru	2009	Wine	0.04
Oceania	Nauru	2009	Spirits	0.13
Oceania	Nauru	2009	Other alcoholic beverages	0
Asia	Nepal	2009	All types	0.22
Asia	Nepal	2009	Beer	0.1
Asia	Nepal	2009	Wine	0
Asia	Nepal	2009	Spirits	0.12
Asia	Nepal	2009	Other alcoholic beverages	0
Europe	Netherlands	2009	All types	9.22
Europe	Netherlands	2009	Beer	4.37
Europe	Netherlands	2009	Wine	3.28
Europe	Netherlands	2009	Spirits	1.58
Europe	Netherlands	2009	Other alcoholic beverages	0
