Country	Beverage Types	2009	2008	2007	2006	2005	2004	2003	2002	2001	2000
Equatorial Guinea	 Wine	3.86	4.36	3.67	3.91	4.1	5.28	5.01	4.82	4.3	3.77
Equatorial Guinea	 Spirits	0	0	0	0	0	0	0	0	0	0
Equatorial Guinea	 Other alcoholic beverages	0	0	0	0	0	0	0	0	0	0
Eritrea	 All types	0.47	0.17	1.23	0.97	1.07	0.71	0.61	0.9	0.67	0.9
Eritrea	 Beer	0.25	0	0.38	0.5	0.62	0.59	0.45	0.47	0.5	0.53
Eritrea	 Wine	0	0	0	0	0	0	0	0	0	0
Eritrea	 Spirits	0	0	0	0	0.02	0.02	0.02	0.03	0.04	0.02
Eritrea	 Other alcoholic beverages	0.22	0.16	0.85	0.46	0.44	0.1	0.14	0.4	0.14	0.36
Estonia	 All types	14.32	16.38	17.37	15.83	14.7	13.23	11.55	10.36	9.22	7.9
Estonia	 Beer	4.69	5.05	5.3	5.16	5.05	5.29	4.59	4.63	4.52	4.24
Estonia	 Wine	1.06	1.3	1.39	1.45	1.42	0.64	0.37	0.36	0.32	0.35
Estonia	 Spirits	7.2	8.2	9.28	7.95	6.99	6.61	6.11	5.05	4.1	3.08
Estonia	 Other alcoholic beverages	1.37	1.83	1.4	1.27	1.24	0.69	0.49	0.32	0.28	0.23
Eswatini	 All types	5.63	5.62	6.32	6.24	5.03	5.93	5.76	5.64	6.74	7.11
Eswatini	 Beer	1.52	1.44	1.54	1.61	1.69	1.62	1.63	1.57	1.54	1.78
Eswatini	 Wine	0.04	0.02	0.04	0.01	0.02	0.02	0.05	0.16	0.26	0.61
Eswatini	 Spirits	0.03	0.02	0.41	0.5	0.16	0.94	0.44	0.03	0.47	0.08
Eswatini	 Other alcoholic beverages	4.04	4.13	4.33	4.12	3.17	3.34	3.64	3.88	4.46	4.64
Ethiopia	 All types	0.77	0.44	0.75	0.83	0.65	0.56	0.52	0.52	0.54	0.57
Ethiopia	 Beer	0.32	0.34	0.36	0.34	0.25	0.22	0.19	0.2	0.2	0.19
Ethiopia	 Wine	0.01	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01
Ethiopia	 Spirits	0.06	0.06	0.07	0.07	0.05	0.04	0.04	0.04	0.03	0.05
Ethiopia	 Other alcoholic beverages	0.39	0.04	0.32	0.41	0.34	0.29	0.28	0.28	0.3	0.33
Fiji	 All types	2.32	1.96	2.1	2.07	2.02	1.63	1.76	1.85	1.93	2.05
Fiji	 Beer	1.35	1.36	1.37	1.38	1.42	1.44	1.47	1.67	1.67	1.76
Fiji	 Wine	0.02	0.02	0.02	0.02	0.02	0.02	0.01	0.02	0.11	0.08
Fiji	 Spirits	0.95	0.58	0.72	0.67	0.58	0.16	0.28	0.16	0.16	0.21
Fiji	 Other alcoholic beverages	0	0	0	0	0	0.01	0	0	0	0
Finland	 All types	9.96	10.26	10.45	10.15	9.95	9.89	9.31	9.25	8.94	8.59
Finland	 Beer	4.54	4.62	4.7	4.57	4.59	4.57	4.37	4.43	4.37	4.27
Finland	 Wine	1.68	1.67	1.64	1.55	1.47	1.42	1.43	1.31	1.19	1.07
Finland	 Spirits	2.49	2.69	2.86	2.86	2.82	2.79	2.38	2.37	2.32	2.22
Finland	 Other alcoholic beverages	1.25	1.28	1.25	1.17	1.08	1.11	1.13	1.14	1.06	1.04
France	 All types	12.3	12.3	12.6	12.4	12.6	13.18	13.49	13.78	13.89	13.63
France	 Beer	2.2	2.2	2.3	2.4	2.3	2.24	2.29	2.25	2.15	2.08
France	 Wine	7.1	7	7.3	7.1	7.4	8.1	8.36	8.59	8.4	8.59
France	 Spirits	2.7	2.8	2.7	2.7	2.6	2.67	2.65	2.74	2.77	2.71
France	 Other alcoholic beverages	0.3	0.3	0.3	0.2	0.3	0.17	0.19	0.2	0.56	0.25
Gabon	 All types	8.61	8.73	8.99	7.98	7.68	8.1	6.45	8.3	9.26	8.84
Gabon	 Beer	6.06	6.23	5.8	5.53	5.31	4.85	4.85	5.35	6.04	5.86
Gabon	 Wine	0.93	0.93	1.15	0.97	0.84	0.99	0.84	1.27	1.55	1.52
Gabon	 Spirits	1.56	1.52	1.99	1.46	1.51	2.23	0.77	1.68	1.67	1.46
Gabon	 Other alcoholic beverages	0.05	0.04	0.05	0.02	0.02	0.03	0	0	0	0
Gambia	 All types	3.05	2.98	3.18	3.24	3.3	3.55	3.63	3.37	3.28	3.14
Gambia	 Beer	0.17	0.18	0.24	0.24	0.23	0.24	0.23	0.2	0.19	0.2
Gambia	 Wine	0.03	0.04	0.05	0.03	0.05	0.05	0.04	0.05	0.02	0
Gambia	 Spirits	0.01	0.01	0.05	0.04	0	0	0	0	0	0
Gambia	 Other alcoholic beverages	2.85	2.76	2.85	2.94	3.03	3.26	3.37	3.12	3.07	2.93
Georgia	 All types	6.88	8.05	7.64	6.29	4.7	3.74	3.36	3.02	3.09	3.71
Georgia	 Beer	0.89	1.17	1.08	0.87	0.78	0.59	0.56	0.5	0.45	0.41
Georgia	 Wine	3.95	4.81	4.49	3.49	2.01	1.28	1.27	1.42	1.57	2
Georgia	 Spirits	2.04	2.07	2.06	1.93	1.91	1.87	1.53	1.1	1.07	1.3
Georgia	 Other alcoholic beverages	0	0	0	0	0	0	0	0	0	0
Germany	 All types	11.61	11.75	11.89	12.14	12.04	11.83	11.92	12.25	12.46	12.91
Germany	 Beer	6.34	6.35	6.48	6.73	6.62	6.29	6.43	6.67	6.71	7.16
Germany	 Wine	3.11	3.24	3.24	3.13	3.13	3.06	3.14	3.14	3.21	3.18
Germany	 Spirits	2.15	2.16	2.16	2.28	2.29	2.48	2.35	2.44	2.54	2.57
Germany	 Other alcoholic beverages	0	0	0	0	0	0	0	0	0	0
Ghana	 All types	1.92	2.18	1.39	1.96	1.81	1.79	1.91	1.95	1.85	1.95
Ghana	 Beer	0.47	0.49	0.48	0.49	0.43	0.42	0.39	0.4	0.33	0.41
Ghana	 Wine	0.12	0.15	0.14	0.11	0.08	0.08	0.07	0.05	0.04	0.04
Ghana	 Spirits	0.06	0.11	0.09	0.07	0.03	0.06	0.07	0.21	0.18	0.11
Ghana	 Other alcoholic beverages	1.27	1.44	0.69	1.29	1.27	1.22	1.38	1.29	1.3	1.39
Greece	 All types	9.07	9.52	9.7	9.47	10.03	9.6	9.49	8.67	9.32	9.16
Greece	 Beer	2.27	2.4	2.38	2.27	2.22	2.22	2.25	2.38	2.35	2.4
Greece	 Wine	4.46	4.72	4.88	4.75	5.35	4.91	4.58	3.69	4.45	4.34
Greece	 Spirits	2.18	2.22	2.26	2.27	2.27	2.26	2.63	2.57	2.49	2.39
Greece	 Other alcoholic beverages	0.16	0.17	0.17	0.18	0.2	0.21	0.03	0.03	0.03	0.03
Grenada	 All types	8.42	8.92	9.04	9.05	8.79	8.38	9.76	10.75	9.64	9.4
Grenada	 Beer	3.54	3.86	4	4.15	3.87	3.62	3.74	3.47	3.53	3.5
Grenada	 Wine	0.48	0.49	0.46	0.31	0.39	0.27	0.41	0.32	0.38	0.74
Grenada	 Spirits	4.12	4.26	4.34	4.39	4.36	4.38	5.61	6.93	5.72	5.15
Grenada	 Other alcoholic beverages	0.27	0.31	0.24	0.2	0.17	0.1	0.01	0.02	0.01	0.01
Guatemala	 All types	2	2.06	2.24	2.22	2.2	2.25	2.29	2.26	2.37	2.48
Guatemala	 Beer	0.8	0.88	1.03	1.05	1.05	1.1	1.04	0.93	0.99	1.04
Guatemala	 Wine	0.03	0.03	0.03	0.03	0.03	0.03	0.03	0.03	0.03	0.03
Guatemala	 Spirits	1.17	1.15	1.17	1.14	1.11	1.11	1.22	1.29	1.35	1.4
Guatemala	 Other alcoholic beverages	0	0	0	0	0	0	0	0	0	0
Guinea	 All types	0.18	0.2	0.19	0.16	0.2	0.34	0.18	0.2	0.17	0.17
Guinea	 Beer	0.15	0.17	0.15	0.12	0.16	0.16	0.16	0.16	0.15	0.15
Guinea	 Wine	0.02	0.03	0.02	0.01	0.02	0.02	0.02	0.04	0.02	0.01
Guinea	 Spirits	0.01	0.01	0.01	0.01	0.03	0.16	0	0	0.01	0.01
Guinea	 Other alcoholic beverages	0	0	0.01	0	0	0	0	0	0	0
Guinea-Bissau	 All types	2.73	2.84	3.03	3.26	3.46	3.32	2.86	2.43	2.56	2.94
Guinea-Bissau	 Beer	0.45	0.3	0.36	0.37	0.36	0.43	0.38	0.32	0.33	0.41
Guinea-Bissau	 Wine	0.53	0.54	0.59	0.41	0.6	0.51	0.54	0.63	0.45	0.58
Guinea-Bissau	 Spirits	0.51	0.52	0.49	0.5	0.48	0.49	0.5	0.51	0.53	0.54
Guinea-Bissau	 Other alcoholic beverages	1.24	1.49	1.59	1.97	2.02	1.89	1.44	0.96	1.25	1.42
Guyana	 All types	5.08	5.02	5.09	4.99	5.22	8.06	8.11	7.85	6.78	6.7
Guyana	 Beer	1.63	1.55	1.52	1.48	1.37	1.37	1.43	1.69	1.6	1.61
Guyana	 Wine	0.02	0.02	0.09	0.01	0.01	0.02	0.02	0.02	0.01	0
Guyana	 Spirits	3.4	3.41	3.45	3.46	3.8	6.64	6.67	6.14	5.17	5.09
Guyana	 Other alcoholic beverages	0.03	0.03	0.03	0.03	0.03	0.03	0	0	0	0
Haiti	 All types	5.9	6	6.15	6.26	5.34	6.13	6.67	6.13	6.24	4.81
Haiti	 Beer	0.12	0.11	0.13	0.12	0.1	0.01	0.01	0.03	0.03	0.03
Haiti	 Wine	0.01	0.01	0.02	0.01	0.01	0.01	0.01	0.02	0.02	0.01
Haiti	 Spirits	5.76	5.87	6.01	6.13	5.22	6.11	6.65	6.08	6.19	4.77
Haiti	 Other alcoholic beverages	0.01	0.01	0.01	0.01	0.01	0	0	0	0	0
Honduras	 All types	2.97	3.05	3.12	3.23	3.23	3.02	3.04	3.09	2.74	2.61
Honduras	 Beer	1.22	1.24	1.26	1.28	1.27	1.27	1.38	1.41	1.33	1.34
Honduras	 Wine	0.02	0.03	0.01	0.02	0.04	0.02	0.02	0.02	0.01	0.04
Honduras	 Spirits	1.73	1.78	1.85	1.93	1.92	1.72	1.64	1.66	1.4	1.23
Honduras	 Other alcoholic beverages	0	0	0	0	0	0	0	0	0	0
Hungary	 All types	11.46	11.64	12.55	13.16	12.94		13.24	13.28	13.18	12.23
Hungary	 Beer	4.26	4.28	4.58	4.38	4.3		4.47	4.34	4.25	4.3
Hungary	 Wine	3.21	3.25	3.85	4.53	4.5		4.6	4.88	4.86	4.08
Hungary	 Spirits	3.99	4.11	4.12	4.25	4.14		4.17	4.06	4.07	3.85
Hungary	 Other alcoholic beverages	0	0	0							
Iceland	 All types	7.24	7.19	7.53	7.2	7.05	6.71	6.52	6.53	6.32	6.14
Iceland	 Beer	3.84	3.55	3.95	3.78	3.67	3.49	3.35	3.29	3.12	3.03
Iceland	 Wine	1.94	2.12	2.04	1.97	1.95	1.83	1.71	1.59	1.48	1.34
Iceland	 Spirits	1.47	1.52	1.54	1.45	1.43	1.39	1.47	1.65	1.73	1.76
Iceland	 Other alcoholic beverages								0	0	0
India	 All types	2.47	1.91	1.57	1.35	1.26	1.19	1.18	1.09	0.99	0.93
India	 Beer	0.15	0.13	0.12	0.11	0.09	0.08	0.08	0.07	0.07	0.07
India	 Wine	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0
India	 Spirits	2.33	1.77	1.44	1.24	1.16	1.1	1.1	1	0.92	0.86
India	 Other alcoholic beverages	0	0	0	0	0	0	0	0	0	0
Indonesia	 All types	0.09	0.08	0.07	0.07	0.07	0.06	0.05	0.05	0.06	0.06
Indonesia	 Beer	0.08	0.07	0.06	0.06	0.06	0.06	0.05	0.05	0.06	0.06
Indonesia	 Wine	0	0	0	0	0	0	0	0	0	0
Indonesia	 Spirits	0.01	0.01	0	0	0	0	0	0	0	0
Indonesia	 Other alcoholic beverages	0	0	0	0	0	0	0	0	0	0
Iran (Islamic Republic of)	 All types	0.03	0.02	0.02	0.02	0.01	0.01	0.01	0	0	0
Iran (Islamic Republic of)	 Beer	0	0	0	0	0	0	0	0	0	0
Iran (Islamic Republic of)	 Wine	0	0	0	0	0	0	0	0	0	0
Iran (Islamic Republic of)	 Spirits	0.03	0.02	0.02	0.02	0.01	0.01	0.01	0	0	0
Iran (Islamic Republic of)	 Other alcoholic beverages	0	0	0	0	0	0	0	0	0	0
Iraq	 All types	0.2	0.17	0.15	0.03	0.18	0.32	0.07	0.15	0.17	0.2
Iraq	 Beer	0.16	0.13	0.11	0	0.15	0.3	0.06	0.14	0.16	0.2
Iraq	 Wine	0	0	0	0	0	0	0	0	0	0
Iraq	 Spirits	0.04	0.04	0.03	0.03	0.03	0.02	0.01	0.01	0	0
Iraq	 Other alcoholic beverages	0	0	0	0	0	0	0	0	0	0
Ireland	 All types	11.27	12.42	13.37	13.38	13.42	13.14	13.07	13.98	14.06	13.87
Ireland	 Beer	5.76	6.18	6.63	6.84	7.04	7.01	7.22	7.56	7.76	7.89
Ireland	 Wine	2.65	2.86	3	2.87	2.75	2.53	2.26	2.14	1.94	1.76
Ireland	 Spirits	1.99	2.45	2.68	2.57	2.55	2.45	2.43	3.11	3.02	2.98
Ireland	 Other alcoholic beverages	0.87	0.93	1.06	1.1	1.08	1.15	1.15	1.16	1.34	1.23
Israel	 All types	2.56	2.48	2.34	2.23	2.41	2.3	2.36	2.55	2.61	2.63
Israel	 Beer	1.05	1.02	0.97	0.78	0.88	0.76	0.79	0.92	1.05	1.12
Israel	 Wine	0.18	0.22	0.17	0.18	0.22	0.23	0.22	0.3	0.27	0.35
Israel	 Spirits	1.27	1.19	1.15	1.21	1.27	1.24	1.36	1.32	1.29	1.16
Israel	 Other alcoholic beverages	0.05	0.05	0.05	0.05	0.05	0.06	0	0	0	0
Italy	 All types	6.4	6.84	7.19	7.26	7.41	8.98	9.3	9.25	9.68	9.78
Italy	 Beer	1.4	1.47	1.55	1.51	1.48	1.72	1.75	1.64	1.69	1.64
Italy	 Wine	4.3	4.65	4.92	4.89	5.03	6.19	6.47	6.54	6.93	7.06
Italy	 Spirits	0.7	0.72	0.72	0.85	0.9	1.07	1.07	1.07	1.07	1.07
Italy	 Other alcoholic beverages	0	0	0	0	0	0	0	0	0	0
Jamaica	 All types	2.84	2.94	2.99	3.02	3.08	3.12	3.08	3.3	3.41	3.43
Jamaica	 Beer	1.06	1.23	1.16	1.12	1.16	1.16	1.17	1.3	1.36	1.63
Jamaica	 Wine	0.14	0.14	0.18	0.15	0.11	0.14	0.09	0.12	0.12	0.1
Jamaica	 Spirits	1.49	1.4	1.49	1.58	1.65	1.64	1.82	1.88	1.94	1.7
Jamaica	 Other alcoholic beverages	0.15	0.16	0.16	0.17	0.17	0.17	0	0	0	0
Japan	 All types	6.98	7.06	7.28	7.48	7.99	7.69	7.83	7.87	8.02	7.96
Japan	 Beer	1.38	1.47	1.63	1.67	1.72	1.74	1.81	1.97	2.21	2.5
Japan	 Wine	0.25	0.25	0.24	0.26	0.29	0.31	0.27	0.28	0.28	0.29
Japan	 Spirits	2.64	2.62	2.62	3.37	3.36	3.41	3.33	3.14	3.05	2.94
Japan	 Other alcoholic beverages	2.7	2.72	2.79	2.18	2.61	2.22	2.42	2.48	2.48	2.23
Jordan	 All types	0.59	0.61	0.59	0.58	0.55	0.54	0.54	0.54	0.55	0.49
Jordan	 Beer	0.19	0.19	0.18	0.17	0.16	0.15	0.13	0.14	0.15	0.07
Jordan	 Wine	0.01	0.01	0.01	0.02	0.02	0.01	0.02	0.01	0.01	0.01
Jordan	 Spirits	0.38	0.4	0.39	0.38	0.36	0.37	0.39	0.39	0.39	0.41
Jordan	 Other alcoholic beverages	0.01	0.01	0.01	0.01	0.01	0.01	0	0	0	0
Kazakhstan	 All types	6.44	7.4	7.26	6.91	6.73	6.39	6.42	5.94	5.66	6
Kazakhstan	 Beer	1.87	2.81	2.53	2.16	1.88	1.48	1.34	1.13	0.96	0.85
Kazakhstan	 Wine	0.35	0.27	0.33	0.35	0.43	0.4	0.53	0.41	0.25	0.35
Kazakhstan	 Spirits	4.22	4.33	4.4	4.4	4.42	4.5	4.55	4.41	4.45	4.8
Kazakhstan	 Other alcoholic beverages	0	0	0	0	0	0	0	0	0	0
Kenya	 All types	2.04	1.79	2.2	1.96	1.49	1.29	1.19	1.4	1.35	1.31
Kenya	 Beer	1.05	1.07	0.95	0.82	0.85	0.65	0.56	0.67	0.68	0.65
Kenya	 Wine	0.02	0.02	0.03	0.02	0.02	0.02	0.01	0.02	0.02	0.01
Kenya	 Spirits	0.41	0.44	0.44	0.45	0.51	0.49	0.48	0.54	0.55	0.54
Kenya	 Other alcoholic beverages	0.56	0.26	0.79	0.67	0.11	0.12	0.14	0.16	0.11	0.11
Kiribati	 All types	0.56	0.48	0.7	0.79	0.6	0.48	0.5	0.49	0.6	0.46
Kiribati	 Beer	0.49	0.44	0.51	0.65	0.56	0.43	0.4	0.45	0.42	0.39
Kiribati	 Wine	0.02	0.02	0.16	0.1	0.01	0	0	0	0.01	0.02
Kiribati	 Spirits	0.05	0.02	0.03	0.03	0.02	0.03	0.02	0.04	0.17	0.05
Kiribati	 Other alcoholic beverages	0	0	0	0	0.01	0.01	0	0	0	0
Kuwait	 All types	0.1	0.03	0.03	0.01	0.01	0.02	0.03	0.01	0.01	0.01
Kuwait	 Beer	0.09	0.02	0.02	0	0	0	0.02	0	0	0
Kuwait	 Wine	0	0	0	0	0	0.01	0	0	0	0
Kuwait	 Spirits	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01
Kuwait	 Other alcoholic beverages	0	0	0	0	0	0	0	0	0	0
Kyrgyzstan	 All types	5.99	7.28	6.97	6.77	6.52	6.74	6.43	5.89	5.74	5.32
Kyrgyzstan	 Beer	0.48	1	0.75	0.65	0.65	0.7	0.54	0.36	0.32	0.26
Kyrgyzstan	 Wine	0.12	0.12	0.12	0.12	0.12	0.14	0.21	0.22	0.22	0.09
Kyrgyzstan	 Spirits	5.39	6.16	6.1	6	5.75	5.9	5.68	5.31	5.2	4.97
Kyrgyzstan	 Other alcoholic beverages	0	0	0	0	0	0	0	0	0	0
Lao People's Democratic Republic	 All types	5.3	5.2	5.07	3.73	3.71	3.56	3.43	3.35	3.14	5.19
Lao People's Democratic Republic	 Beer	2.2	2.06	1.77	1.51	1.42	1.23	1.12	1.02	0.94	0.85
Lao People's Democratic Republic	 Wine	0	0	0	0	0	0	0	0	0.01	0.02
Lao People's Democratic Republic	 Spirits	3.1	3.14	3.31	2.23	2.29	2.32	2.31	2.33	2.19	4.32
Lao People's Democratic Republic	 Other alcoholic beverages	0	0	0	0	0	0	0	0	0	0
Latvia	 All types	9.85	11.84	12.12	10.4	9.92	8.81	8.24	7.44	6.68	7.13
Latvia	 Beer	4.35	4.12	4.15	4.09	3.8	3.69	2.97	2.74	2.12	1.97
Latvia	 Wine	1.03	1.13	1.18	1.06	0.94	0.95	1.78	1.5	1.38	1.6
Latvia	 Spirits	3.94	5.8	5.91	4.48	4.57	3.74	3.33	3.04	3.04	3.45
Latvia	 Other alcoholic beverages	0.53	0.79	0.88	0.78	0.6	0.43	0.16	0.16	0.14	0.11
Lebanon	 All types	1.61	1.68	1.72	1.82	1.94	2.1	2.19	1.98	2.19	2.26
Lebanon	 Beer	0.39	0.39	0.39	0.39	0.41	0.45	0.44	0.44	0.44	0.44
Lebanon	 Wine	0.32	0.42	0.52	0.66	0.77	0.82	0.85	0.59	0.64	0.7
Lebanon	 Spirits	0.88	0.85	0.79	0.76	0.75	0.82	0.89	0.95	1.11	1.12
Lebanon	 Other alcoholic beverages	0.02	0.02	0.02	0.02	0.02	0.02	0	0	0	0
Lesotho	 All types	2.98	2.97	2.9	2.82	2.49	1.81	2	2.97	2.87	3.1
Lesotho	 Beer	1.33	1.35	1.3	1.23	1.26	1.31	1.37	1.48	1.57	1.54
Lesotho	 Wine	0.01	0.01	0.01	0	0	0	0	0	0.04	0.04
Lesotho	 Spirits	0.55	0.56	0.55	0.54	0.53	0	0	0.36	0.36	0.37
Lesotho	 Other alcoholic beverages	1.09	1.05	1.05	1.05	0.7	0.5	0.63	1.14	0.9	1.15
Liberia	 All types	3.75	3.89	4.04	4.05	4.19	4.24	4.22	4.28	4.41	4.46
Liberia	 Beer	0.34	0.34	0.34	0.3	0.29	0.25	0.15	0.15	0.17	0.17
Liberia	 Wine	0.01	0.01	0.01	0	0	0	0	0	0	0
Liberia	 Spirits	3.4	3.54	3.68	3.75	3.89	3.99	4.07	4.13	4.24	4.29
Liberia	 Other alcoholic beverages	0	0	0	0	0	0	0	0	0	0
Libya	 All types	0.01	0.01	0.01	0.01	0	0.01	0.01	0.01	0	0.01
Libya	 Beer	0.01	0	0	0.01	0	0	0	0	0	0
Libya	 Wine	0	0	0	0	0	0	0	0	0	0
Libya	 Spirits	0.01	0.01	0	0	0	0.01	0.01	0	0	0.01
Libya	 Other alcoholic beverages	0	0	0	0	0	0	0	0	0	0
Lithuania	 All types	12.4	13.3	13.4	12.7	12.3	12.1	11.29	11	10.2	9.87
Lithuania	 Beer	5.4	5.4	5.6	6	5.8	4.62	4.58	4.66	4	3.78
Lithuania	 Wine	0.9	0.9	0.9	1.4	1.4	2.37	2.24	2.06	1.89	2.1
Lithuania	 Spirits	4.6	5.5	5.3	4.5	4.5	4.31	3.71	3.59	3.67	3.3
Lithuania	 Other alcoholic beverages	1.5	1.5	1.6	0.8	0.6	0.79	0.76	0.69	0.64	0.69
Luxembourg	 All types	11.6	11.72	11.94	12.17	12.02	12.42	12.61	12.91	12.89	13.14
Luxembourg	 Beer	4.27	4.28	4.39	4.57	4.46	4.27	4.36	4.46	4.43	4.62
Luxembourg	 Wine	4.91	4.97	5.12	5.11	5.12	5.58	5.75	5.86	5.81	5.88
Luxembourg	 Spirits	2.43	2.48	2.43	2.49	2.44	2.58	2.5	2.59	2.66	2.64
Luxembourg	 Other alcoholic beverages	0	0	0	0	0	0	0	0	0	0
Madagascar	 All types	0.91	0.68	0.71	0.68	0.83	0.83	0.94	0.91	1.17	1.31
Madagascar	 Beer	0.4	0.37	0.38	0.34	0.34	0.36	0.38	0.28	0.41	0.4
Madagascar	 Wine	0.17	0.17	0.17	0.17	0.15	0.13	0.22	0.22	0.22	0.24
Madagascar	 Spirits	0.34	0.14	0.16	0.17	0.34	0.34	0.34	0.42	0.54	0.67
Madagascar	 Other alcoholic beverages	0	0	0	0	0	0	0	0	0	0
Malawi	 All types	1.78	1.94	1.98	1.98	1.48	1.27	1.24	1.27	1.33	1.38
Malawi	 Beer	0.15	0.15	0.14	0.14	0.14	0.14	0.15	0.15	0.16	0.16
Malawi	 Wine	0.02	0.15	0	0.01	0.01	0.01	0.02	0.01	0.01	0
Malawi	 Spirits	0.21	0.15	0.2	0.22	0.23	0.29	0.25	0.26	0.28	0.3
Malawi	 Other alcoholic beverages	1.4	1.49	1.63	1.61	1.1	0.83	0.83	0.84	0.88	0.91
Malaysia	 All types	0.47	0.47	0.43	0.43	0.46	0.49	0.48	0.49	0.53	0.54
Malaysia	 Beer	0.37	0.37	0.34	0.34	0.38	0.41	0.4	0.41	0.41	0.45
Malaysia	 Wine	0	0.01	0.01	0	0.01	0.01	0	0	0.04	0.02
Malaysia	 Spirits	0.09	0.09	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08
Malaysia	 Other alcoholic beverages	0.01	0.01	0	0	0	0	0	0	0	0
Maldives	 All types	1.62	1.72	1.69	1.57	1.35	1.6	1.76	1.78	1.62	1.47
Maldives	 Beer	0.46	0.54	0.56	0.53	0.4	0.54	0.51	0.54	0.51	0.38
Maldives	 Wine	0.32	0.36	0.36	0.29	0.3	0.36	0.36	0.36	0.29	0.3
Maldives	 Spirits	0.83	0.82	0.77	0.74	0.65	0.65	0.82	0.82	0.76	0.74
Maldives	 Other alcoholic beverages	0	0	0	0	0	0	0	0	0	0
Mali	 All types	0.56	0.58	0.55	0.55	0.54	0.54	0.55	0.61	0.6	0.57
Mali	 Beer	0.07	0.07	0.07	0.06	0.06	0.06	0.06	0.06	0.06	0.06
Mali	 Wine	0	0	0	0	0	0	0.01	0.05	0.02	0.01
Mali	 Spirits	0.01	0.02	0.01	0.01	0	0.01	0.01	0.01	0.01	0
Mali	 Other alcoholic beverages	0.48	0.48	0.47	0.47	0.47	0.47	0.48	0.49	0.5	0.49
Malta	 All types	7.53	7.27	7.62	9.03	6.55	6.66	6.8	6.11	5.95	5.88
Malta	 Beer	2.71	2.66	2.37	2.15	1.7	1.86	1.83	2.61	2.72	2.83
Malta	 Wine	2.94	2.71	3.27	4.95	2.96	3.01	3.08	1.58	1.38	1.17
Malta	 Spirits	1.55	1.55	1.62	1.6	1.58	1.53	1.87	1.9	1.85	1.88
Malta	 Other alcoholic beverages	0.33	0.35	0.36	0.33	0.31	0.27	0.02	0.03	0	0
Mauritania	 All types	0	0.02	0.02	0.01	0.01	0.01	0.01	0.02	0.01	0.03
Mauritania	 Beer	0	0	0	0	0	0	0	0	0	0
Mauritania	 Wine	0	0	0	0	0	0	0	0	0	0.01
Mauritania	 Spirits	0	0.01	0.02	0.01	0.01	0.01	0	0.01	0.01	0.02
Mauritania	 Other alcoholic beverages	0	0	0	0	0	0	0	0	0	0
Mauritius	 All types	2.82	2.49	3.24	3.73	3.94	4.17	4.08	4.13	4.37	4.6
Mauritius	 Beer	1.98	1.57	1.79	1.81	1.96	1.99	2	1.92	2.15	2.21
Mauritius	 Wine	0.26	0.35	0.33	0.3	0.32	0.3	0.28	0.42	0.26	0.29
Mauritius	 Spirits	0.58	0.56	1.12	1.61	1.66	1.88	1.8	1.79	1.96	2.1
Mauritius	 Other alcoholic beverages	0	0	0	0	0	0	0	0	0	0
Mexico	 All types	5.23	5.34	5.35	5.13	4.96	4.93	4.91	4.82	4.93	5.06
Mexico	 Beer	4.02	4.09	4.11	3.97	3.85	3.76	3.73	3.65	3.7	3.72
Mexico	 Wine	0.12	0.12	0.12	0.09	0.09	0.11	0.11	0.09	0.09	0.09
Mexico	 Spirits	1.06	1.1	1.08	1.04	0.99	1.04	1.07	1.08	1.13	1.24
Mexico	 Other alcoholic beverages	0.03	0.03	0.03	0.03	0.03	0.03	0	0	0	0
Micronesia (Federated States of)	 All types	2.05	1.97	1.63	1.73	1.9	2.03	3.16	2.79	2.83	2.23
Micronesia (Federated States of)	 Beer	1.18	1.02	0.72	0.71	1.49	1.69	3.05	2.69	2.75	2.14
Micronesia (Federated States of)	 Wine	0.03	0.18	0.14	0.09	0.16	0.19	0.04	0.04	0.02	0.01
Micronesia (Federated States of)	 Spirits	0.85	0.76	0.77	0.94	0.25	0.14	0.06	0.07	0.07	0.07
Micronesia (Federated States of)	 Other alcoholic beverages	0	0	0	0	0	0	0	0	0	0
Mongolia	 All types	4.64	4.14	3.61	3.44	2.73	1.68	1.39	1.42	0.92	2.01
Mongolia	 Beer	1.01	1.42	0.96	0.78	0.77	0.46	0.39	0.54	0.09	0.48
Mongolia	 Wine	0.11	0.07	0.1	0.07	0.06	0.09	0.11	0.11	0.11	0.11
Mongolia	 Spirits	3.4	2.77	2.55	2.59	1.89	0.86	0.67	0.51	0.47	1.15
Mongolia	 Other alcoholic beverages	0	0	0	0	0	0.28	0.21	0.26	0.25	0.27
Montenegro	 All types	7.26	6.94	5.69	6.53						
Montenegro	 Beer	0.7	0.71	0.48	0.02						
Montenegro	 Wine	4.02	3.66	2.47	3.57						
Montenegro	 Spirits	2.37	2.35	2.31	2.25						
Montenegro	 Other alcoholic beverages	0.17	0.22	0.21	0.2						
Morocco	 All types	0.62	0.57	0.56	0.58	0.53	0.56	0.58	0.46	0.46	0.45
Morocco	 Beer	0.23	0.24	0.22	0.22	0.23	0.23	0.22	0.24	0.23	0.21
