Country	Beverage Types	2009	2008	2007	2006	2005	2004	2003	2002	2001	2000
Bahrain	 Other alcoholic beverages	0.16	0.18	0.16	0.1	0.09	0	0	0	0	0
Bangladesh	 All types	0.01	0.01	0	0	0	0	0	0	0	0.01
Bangladesh	 Beer	0	0	0	0	0	0	0	0	0	0
Bangladesh	 Wine	0	0	0	0	0	0	0	0	0	0
Bangladesh	 Spirits	0	0	0	0	0	0	0	0	0	0
Bangladesh	 Other alcoholic beverages	0	0	0	0	0	0	0	0	0	0
Barbados	 All types	8.55	8.83	8.43	8.6	8.17	7.67	7.61	7.53	7.32	7.24
Barbados	 Beer	3.18	3.45	3.15	3.29	3.22	2.98	2.89	2.89	2.87	2.73
Barbados	 Wine	0.93	0.89	1.06	1.12	0.92	0.68	0.72	0.55	0.49	0.49
Barbados	 Spirits	4.28	4.24	3.97	3.95	3.82	3.8	3.97	4.06	3.92	3.99
Barbados	 Other alcoholic beverages	0.16	0.25	0.25	0.24	0.21	0.22	0.03	0.03	0.03	0.03
Belarus	 All types	13.97	14.54	13.86	12.53	11.05	12.08	11.17	12.23	10.74	12.92
Belarus	 Beer	2.77	2.92	2.72	2.32	1.85	1.33	3.2	2.73	1.15	1.19
Belarus	 Wine	0.18	0.18	0.16	0.16	0.14	0.22	0.49	0.41	0.37	0.17
Belarus	 Spirits	6.11	6.31	5.99	5.24	4.15	3.64	3.8	4.75	4.75	5.03
Belarus	 Other alcoholic beverages	4.91	5.14	4.99	4.82	4.9	6.89	3.68	3.89	4.47	6.54
Belgium	 All types	10.1	10.51	13.43	10.94	12.21	12.06	11.31	11.33	11.05	11.25
Belgium	 Beer	4.94	5.04	5.2	5.58	6.03	5.95	6.14	6.09	6.08	6.15
Belgium	 Wine	3.66	3.83	4.26	4.35	4.2	4.26	4.06	4.26	3.99	4.05
Belgium	 Spirits	1.45	1.59	3.96	0.99	1.97	1.84	1.07	0.95	0.93	1
Belgium	 Other alcoholic beverages	0.05	0.06	0.02	0.02	0.02	0.02	0.04	0.04	0.04	0.04
Belize	 All types	6.45	6.86	6.93	6.22	6.06	6.04	5.53	4.87	4.77	4.67
Belize	 Beer	4.36	4.7	4.74	4.01	3.86	3.88	3.6	3.01	2.87	2.76
Belize	 Wine	0.17	0.14	0.16	0.12	0.14	0.12	0.15	0.11	0.14	0.14
Belize	 Spirits	1.73	1.87	1.91	1.98	2.01	2.03	1.77	1.74	1.75	1.77
Belize	 Other alcoholic beverages	0.18	0.15	0.13	0.11	0.05	0.01	0	0	0	0
Benin	 All types	1.21	1.34	1.2	1.26	1.22	1.23	1.44	1.33	1.38	1.43
Benin	 Beer	0.62	0.62	0.55	0.53	0.51	0.53	0.7	0.73	0.66	0.54
Benin	 Wine	0.2	0.16	0.17	0.17	0.14	0.12	0.12	0.1	0.12	0.12
Benin	 Spirits	0.15	0.25	0.1	0.19	0.16	0.15	0.19	0.02	0.13	0.31
Benin	 Other alcoholic beverages	0.25	0.31	0.38	0.38	0.41	0.42	0.44	0.47	0.48	0.46
Bhutan	 All types	0.22	0.3	0.2	0.33	1.1	0.96	0.52	0.29	1.42	1.66
Bhutan	 Beer	0.17	0.21	0.16	0.29	0.73	0.96	0.49	0.29	1.42	1.66
Bhutan	 Wine	0.02	0.06	0.02	0.02	0.01	0	0	0	0	0
Bhutan	 Spirits	0.03	0.02	0.02	0.02	0.36	0.34	0.03	0	0	0
Bhutan	 Other alcoholic beverages	0	0	0	0	0	0	0	0	0	0
Bolivia (Plurinational State of)	 All types	3.83	3.75	3.47	3.22	2.85	2.65	2.36	2.28	2.23	2.34
Bolivia (Plurinational State of)	 Beer	2.94	2.79	2.55	2.34	2.13	1.99	1.69	1.58	1.54	1.67
Bolivia (Plurinational State of)	 Wine	0.22	0.26	0.24	0.24	0.13	0.1	0.1	0.08	0.1	0.1
Bolivia (Plurinational State of)	 Spirits	0.65	0.69	0.67	0.62	0.58	0.56	0.57	0.61	0.58	0.56
Bolivia (Plurinational State of)	 Other alcoholic beverages	0.02	0.01	0.01	0.01	0.01	0	0	0	0	0
Bosnia and Herzegovina	 All types	4.71	5.09	5.11	4.78	4.53	4.22	4.12	3.89	3.95	3.69
Bosnia and Herzegovina	 Beer	3.5	3.8	3.77	3.57	3.34	3.03	2.87	2.65	2.61	2.57
Bosnia and Herzegovina	 Wine	0.49	0.54	0.58	0.45	0.41	0.4	0.41	0.38	0.49	0.27
Bosnia and Herzegovina	 Spirits	0.59	0.62	0.62	0.61	0.64	0.67	0.85	0.87	0.85	0.85
Bosnia and Herzegovina	 Other alcoholic beverages	0.13	0.14	0.13	0.14	0.13	0.12	0	0	0	0
Botswana	 All types	5.3	7.46	6.84	7.13	6.15	4.67	5.38	6.16	5.12	4.95
Botswana	 Beer	2.25	2.16	2.63	2.65	2.59	2.48	2.51	2.63	2.72	2.32
Botswana	 Wine	0.7	1.13	1.82	1.42	0.91	0.44	0.45	0.53	0.23	0.34
Botswana	 Spirits	0.66	2.06	0.49	1.07	1.01	0	0.81	1.21	0.36	0.53
Botswana	 Other alcoholic beverages	1.69	2.11	1.89	1.99	1.64	1.74	1.61	1.78	1.81	1.76
Brazil	 All types	7.21	7.09	7.08	7	6.85	6.77	6.88	7.07	7.22	7.35
Brazil	 Beer	4.08	3.78	3.68	3.51	3.32	3.19	3.15	3.29	3.32	3.31
Brazil	 Wine	0.39	0.37	0.38	0.41	0.46	0.4	0.4	0.42	0.42	0.44
Brazil	 Spirits	2.71	2.91	2.99	3.05	3.04	3.15	3.32	3.35	3.47	3.59
Brazil	 Other alcoholic beverages	0.03	0.03	0.03	0.03	0.03	0.03	0.01	0.01	0.01	0.01
Brunei Darussalam	 All types	0.25	0.66	0.84	0.66	0.16	0.11	0.12	0.13	0.47	0.37
Brunei Darussalam	 Beer	0.18	0.59	0.77	0.5	0.09	0.08	0.09	0.09	0.2	0.19
Brunei Darussalam	 Wine	0.01	0.02	0.02	0.03	0.02	0.02	0.02	0.01	0.04	0.03
Brunei Darussalam	 Spirits	0.05	0.05	0.06	0.11	0.05	0.01	0.02	0.03	0.23	0.15
Brunei Darussalam	 Other alcoholic beverages	0	0	0	0.02	0	0	0	0	0	0.4
Bulgaria	 All types	10.96	11.01	10.92	10.42	10.53	10.97	11.19	10.61	11.21	10.08
Bulgaria	 Beer	4.03	4.41	4.41	3.96	3.56	3.52	3.3	2.98	3.22	2.99
Bulgaria	 Wine	2.02	1.73	1.7	1.58	1.95	2.09	2.93	2.75	3.23	2.43
Bulgaria	 Spirits	4.84	4.8	4.73	4.8	4.93	5.29	4.96	4.88	4.77	4.65
Bulgaria	 Other alcoholic beverages	0.07	0.07	0.07	0.07	0.09	0.06	0	0	0	0
Burkina Faso	 All types	4.57	4.47	4.58	4.72	4.91	4.55	4.6	4.52	4.55	3.74
Burkina Faso	 Beer	0.46	0.46	0.45	0.44	0.44	0.42	0.41	0.41	0.39	0.4
Burkina Faso	 Wine	0.13	0.09	0.07	0.07	0.09	0.09	0.1	0.07	0.08	0.08
Burkina Faso	 Spirits	0.14	0.13	0.2	0.5	0.43	0.17	0.21	0.27	0.23	0.29
Burkina Faso	 Other alcoholic beverages	3.84	3.8	3.86	3.7	3.94	3.87	3.87	3.76	3.86	2.97
Burundi	 All types	4.05	4.33	4.54	4.5	5.54	5.81	5.94	6.08	6.19	6.72
Burundi	 Beer	1.37	1.4	1.42	1.4	1.19	1.17	1.11	1	0.98	1.43
Burundi	 Wine	0	0	0	0	0.01	0.01	0	0.01	0.01	0.01
Burundi	 Spirits	0	0	0.01	0.01	0	0	0	0	0	0
Burundi	 Other alcoholic beverages	2.68	2.93	3.11	3.1	4.34	4.63	4.82	5.08	5.2	5.27
Cabo Verde	 All types	4.45	4.18	5.32	4.3	4.38	4.31	4.3	3.94	3.95	3.59
Cabo Verde	 Beer	2.21	1.98	2.05	1.95	2.28	1.97	2.4	2.16	2.2	2.17
Cabo Verde	 Wine	1.76	1.89	2.53	1.88	1.96	1.81	1.42	1.5	1.27	0.95
Cabo Verde	 Spirits	0.48	0.31	0.74	0.47	0.14	0.53	0.46	0.27	0.48	0.47
Cabo Verde	 Other alcoholic beverages	0	0	0	0	0	0	0.01	0.01	0	0
Cambodia	 All types	1.41	1.34	1.28	1.17	1.1	0.9	0.83	0.74	0.61	0.6
Cambodia	 Beer	1.04	0.98	0.93	0.83	0.77	0.58	0.53	0.48	0.36	0.34
Cambodia	 Wine	0	0	0	0	0	0	0	0	0	0.01
Cambodia	 Spirits	0.36	0.36	0.35	0.34	0.33	0.32	0.3	0.26	0.25	0.26
Cambodia	 Other alcoholic beverages	0	0	0	0	0	0	0	0	0	0
Cameroon	 All types	6.08	5.57	5.33	5.26	5.2	5.32	5.29	5.2	5.04	4.5
Cameroon	 Beer	2.71	2.3	2.11	2.08	2.1	2.42	2.36	2.36	2.27	2.07
Cameroon	 Wine	0.08	0.07	0.07	0.08	0.08	0.08	0.08	0.08	0.09	0.07
Cameroon	 Spirits	0	0	0	0	0.02	0.07	0.06	0.04	0.04	0.02
Cameroon	 Other alcoholic beverages	3.28	3.19	3.14	3.1	3	2.76	2.78	2.73	2.64	2.34
Canada	 All types	8.4	8.3	8.3	8.2	8	7.8	7.8	7.7	7.7	7.7
Canada	 Beer	4.2	4.2	4.2	4.2	4.2	4.2	4.2	4.2	4.2	4.3
Canada	 Wine	1.9	1.8	1.8	1.7	1.6	1.5	1.5	1.4	1.4	1.3
Canada	 Spirits	2.1	2.1	2.1	2.1	2	2.1	2.1	2.1	2.1	2.1
Canada	 Other alcoholic beverages	0.2	0.2	0.2	0.2	0.2	0	0	0	0	0
Central African Republic	 All types	1.62	1.71	1.68	1.63	1.66	1.61	1.62	1.62	1.68	1.69
Central African Republic	 Beer	0.3	0.31	0.28	0.26	0.22	0.25	0.27	0.3	0.37	0.41
Central African Republic	 Wine	0.01	0.01	0.01	0.01	0.08	0.01	0.01	0.02	0.02	0.03
Central African Republic	 Spirits	0.04	0.02	0.03	0.04	0.03	0.03	0.04	0.02	0.04	0.02
Central African Republic	 Other alcoholic beverages	1.28	1.37	1.36	1.33	1.33	1.32	1.3	1.28	1.25	1.23
Chad	 All types	0.5	0.49	0.45	0.44	0.43	0.35	0.43	0.36	0.31	0.26
Chad	 Beer	0.3	0.29	0.26	0.23	0.24	0.23	0.24	0.22	0.18	0.17
Chad	 Wine	0.02	0.02	0.01	0	0	0.01	0	0	0	0
Chad	 Spirits	0.02	0.02	0.02	0.02	0.02	0.03	0.03	0.03	0	0
Chad	 Other alcoholic beverages	0.16	0.16	0.16	0.19	0.16	0.08	0.15	0.11	0.12	0.09
Chile	 All types	7.67	7.31	7.39	7.33	7.57	6.98	7.25	6.88	6.94	7.09
Chile	 Beer	2.32	2.43	2.34	2.26	2.01	1.84	1.81	1.76	1.79	1.8
Chile	 Wine	2.85	2.17	2.83	2.22	2.59	3.36	3.46	3.2	3.22	3.32
Chile	 Spirits	2.5	2.71	2.22	2.85	2.97	1.6	1.97	1.91	1.92	1.98
Chile	 Other alcoholic beverages	0	0	0	0	0	0.19	0.01	0.01	0.01	0
China	 All types	4.88	4.27	3.88	3.28	2.92	3.05	2.98	2.98	2.91	3.11
China	 Beer	1.59	1.5	1.43	1.3	1.18	1.12	1.02	0.98	0.94	0.94
China	 Wine	0.1	0.08	0.08	0.06	0.05	0.18	0.18	0.19	0.19	0.18
China	 Spirits	3.25	2.64	2.31	1.88	1.67	1.75	1.78	1.81	1.78	1.99
China	 Other alcoholic beverages	0	0	0	0	0	0	0	0	0	0
Colombia	 All types	4.26	4.36	4.56	4.44	4.27	4.16	4.15	4.33	4.3	4.52
Colombia	 Beer	2.88	2.99	3.1	2.95	2.76	2.58	2.58	2.65	2.52	2.8
Colombia	 Wine	0.07	0.07	0.07	0.07	0.05	0.05	0.05	0.05	0.03	0.04
Colombia	 Spirits	1.3	1.29	1.37	1.41	1.43	1.5	1.5	1.6	1.71	1.65
Colombia	 Other alcoholic beverages	0.02	0.02	0.02	0.02	0.02	0.03	0.02	0.03	0.03	0.03
Comoros	 All types	0.17	0.12	0.16	0.25	0.24	0.35	0.33	0.1	0.11	0.11
Comoros	 Beer	0.04	0.04	0.05	0.13	0.15	0.17	0.15	0.02	0.02	0.03
Comoros	 Wine	0.02	0.02	0.04	0.02	0.02	0.07	0.06	0.03	0.03	0.04
Comoros	 Spirits	0.1	0.06	0.07	0.09	0.06	0.11	0.12	0.05	0.05	0.04
Comoros	 Other alcoholic beverages	0	0	0	0	0	0	0	0	0	0
Congo	 All types	3.5	3.25	3.13	2.84	2.42	2.57	2.44	2.56	2.23	2.13
Congo	 Beer	3.09	2.79	2.62	2.24	1.83	1.7	1.71	1.75	1.47	1.47
Congo	 Wine	0.01	0.01	0.18	0.21	0.18	0.33	0.21	0.28	0.3	0.23
Congo	 Spirits	0.39	0.43	0.31	0.38	0.41	0.54	0.52	0.53	0.46	0.43
Congo	 Other alcoholic beverages	0.02	0.02	0.02	0.01	0	0	0	0	0	0
Cook Islands	 All types	9.89	9.18	9.59	7.32	7.9	8.27	8.71	1.29	2.69	4.2
Cook Islands	 Beer	3.1	2.4	2.99	2.7	2.81	3.14	2.53	0.57	1.27	0.48
Cook Islands	 Wine	2.3	2.29	2.91	2.02	2.6	2.41	2.27	0.39	1	2.03
Cook Islands	 Spirits	4.48	4.49	3.69	2.6	2.49	2.71	3.91	0.34	0.41	1.69
Cook Islands	 Other alcoholic beverages	0	0	0	0	0	0	0	0	0	0
Costa Rica	 All types	4.15	4.3	4.26	4.2	4.14	4.12	4.05	4.17	4.26	4.31
Costa Rica	 Beer	2.48	2.5	2.44	2.35	2.3	2.24	2.25	2.23	2.24	2.25
Costa Rica	 Wine	0.18	0.2	0.2	0.17	0.17	0.14	0.13	0.12	0.13	0.18
Costa Rica	 Spirits	1.45	1.55	1.58	1.64	1.63	1.7	1.67	1.81	1.9	1.87
Costa Rica	 Other alcoholic beverages	0.04	0.04	0.05	0.04	0.04	0.04	0	0	0	0
Côte d'Ivoire	 All types	4.24	4.18	3.69	3.88	4.69	4.48	4.69	4.59	4.69	4.67
Côte d'Ivoire	 Beer	0.62	0.64	0.66	0.61	0.66	0.62	0.63	0.51	0.54	0.57
Côte d'Ivoire	 Wine	0.25	0.12	0.15	0.21	0.24	0.34	0.34	0.35	0.29	0.26
Côte d'Ivoire	 Spirits	0.02	0.02	0.01	0.02	0.05	0.04	0.04	0.04	0.04	0.04
Côte d'Ivoire	 Other alcoholic beverages	3.35	3.4	2.88	3.04	3.74	3.48	3.67	3.69	3.82	3.8
